nodeID1,nodeID2,utilisation
1089,1089,0
1089,5389,8073
1089,6806,6107
5389,5705,7981
5389,1089,6107
5389,5389,0
6806,1089,7956
6806,4653,6107
6806,6806,0
109,109,0
109,1725,0
1725,1601,0
1725,109,1983
1725,1725,0
1092,7641,2092
1092,6738,1910
1092,1092,0
7641,7715,0
7641,1092,2013
7641,99,1988
7641,7171,0
7641,2153,22300
7641,3657,0
7641,3915,0
7641,3025,1987
7641,8787,0
7641,7641,0
6738,6738,0
6738,8259,1996
6738,1092,2092
1093,1733,5925
1093,1093,0
1093,7687,2811
1093,5195,12118
1093,8206,2055
1733,1733,0
1733,7059,3883
1733,1093,8097
7687,1093,0
7687,7687,0
7687,5900,10149
7687,1241,12277
7687,1406,2873
5195,1093,15970
5195,2507,211962
5195,5195,0
5195,6160,0
5195,4501,6066
5195,1241,176211
5195,991,7892
8206,1093,4021
8206,8206,0
8206,6831,2021
1094,8753,0
1094,7755,2131
1094,1094,0
8753,8753,0
8753,8941,1937
7755,7755,0
7755,7669,4169
7755,1094,0
1099,1099,0
1099,3892,1945
3892,7881,8042
3892,1099,2002
3892,7630,2106
3892,3892,0
3892,4671,0
11,8952,2033
11,11,0
8952,8952,0
8952,11,2009
1101,7532,2022
1101,1101,0
1101,7351,1976
7532,7532,0
7532,3804,2022
7532,1101,1976
7351,5441,4013
7351,1244,16103
7351,1101,2022
7351,7351,0
1102,1102,0
1102,4319,1961
4319,6072,1961
4319,1102,2015
4319,4319,0
1109,4531,3991
1109,5036,1995
1109,1109,0
4531,4228,6020
4531,4328,60391
4531,6985,757
4531,7794,12096
4531,1875,5900
4531,4531,0
4531,1109,1995
4531,5651,1939
4531,126,74213
4531,4574,22254
5036,5036,0
5036,1109,1995
5036,5326,4031
111,4579,3973
111,4507,1996
111,3003,0
111,111,0
4579,4579,0
4579,92,6023
4579,3003,0
4579,111,1996
4507,4507,0
4507,3003,0
4507,111,1928
1110,4643,0
1110,6373,1990
1110,1110,0
6373,6373,0
6373,4643,0
6373,5397,3966
6373,1110,6061
1111,5775,0
1111,5993,2031
1111,1111,0
5775,5775,0
5775,4774,0
5775,1111,2031
5993,6435,2052
5993,3943,4018
5993,5993,0
5993,2289,0
5993,564,1972
5993,2678,122413
5993,1111,1933
5993,2652,410028
5993,8925,0
1113,1113,0
1113,2154,4088
2154,1113,2085
2154,4004,81158
2154,4165,0
2154,2629,0
2154,6056,0
2154,2154,0
2154,4639,3977
2154,4814,20107
2154,1199,1983
2154,4945,0
2154,1721,8024
2154,9108,0
2154,761,1978
2154,2492,4032
2154,7004,6103
2154,8671,0
1114,7993,1944
1114,1114,0
7993,8451,0
7993,2538,1987
7993,2585,0
7993,7420,0
7993,7993,0
7993,1114,0
7993,7164,22055
7993,734,8072
1115,1115,0
1115,3003,0
1115,7540,4023
1115,814,0
7540,91,0
7540,1115,0
7540,3003,14100
7540,7540,0
814,8600,0
814,1115,4023
814,3003,0
814,814,0
1116,2249,9994
1116,7466,2044
1116,1116,0
2249,2249,0
2249,2914,7960
2249,1116,2044
7466,7466,0
7466,1116,10067
7466,5542,2044
1119,4643,2039
1119,5347,0
1119,1119,0
5347,7568,2004
5347,4643,0
5347,1119,1991
5347,5347,0
1126,8416,4027
1126,4196,1993
1126,1126,0
8416,8416,0
8416,1866,4027
8416,1126,6056
4196,4196,0
4196,1126,2002
4196,5815,3971
1127,8194,0
1127,4643,0
1127,1127,0
1127,8991,4031
8194,8194,0
8194,4643,0
8194,1127,2032
8991,2073,4031
8991,4643,0
8991,8991,0
8991,1127,1979
1131,1131,0
1131,8964,7832
1131,4198,6009
8964,1131,3974
8964,1843,7832
8964,8964,0
4198,3312,6009
4198,1131,7832
4198,4198,0
1132,910,18152
1132,4643,0
1132,1132,0
1132,7374,10071
910,4643,0
910,1132,10071
910,6229,16139
910,910,0
7374,1132,18187
7374,4643,0
7374,5532,10071
7374,7374,0
1133,2633,1963
1133,1133,0
1133,5783,0
2633,792,3926
2633,2633,0
2633,1133,1986
5783,5533,1969
5783,5783,0
1134,7418,2000
1134,1134,0
7418,7418,0
7418,8787,4034
7418,1134,0
1136,6064,0
1136,1136,0
6064,4682,14118
6064,4202,0
6064,6064,0
6064,1136,0
6064,5712,0
6064,821,60501
1137,5312,2018
1137,1137,0
1137,8026,4013
5312,5312,0
5312,1137,4013
5312,4959,4001
