nodeID,in,out
2258,5945,4029
2260,16038,10090
2267,8133,6099
2269,3918,4055
227,0,1975
2272,1938,4087
2274,6102,4084
2275,20132,22190
2277,6011,6078
228,4033,4004
2280,0,1961
2281,0,2050
2283,0,8207
2284,6096,5977
2286,0,2000
2287,19878,19846
2288,5996,6005
2289,1946,3918
229,8082,2091
2290,12168,12159
2293,21149,21149
2295,14012,12068
2296,0,1942
2297,0,1947
2298,2025,2005
23,204100,192053
2300,2044,2081
2301,6147,4161
2302,0,1948
2303,0,1997
2304,10112,14157
2306,8164,1946
231,12282,10194
2310,0,2038
2311,8091,10126
2313,6887,8928
2314,99316,99389
2318,3985,6009
2319,27888,28007
2320,0,2008
2324,140262,136297
2326,1958,2128
2328,15999,18013
233,4008,4041
2331,1956,3968
2333,22333,22370
2336,4195,4127
2337,4003,2043
2338,24070,28161
2339,9998,9981
2341,3925,5939
2342,8036,7993
2345,8051,6043
2346,4005,3923
2347,0,1983
2348,40542,42564
2349,0,1968
2350,6079,6065
2351,6049,4010
2354,3987,6052
2355,2099,2036
2357,4043,2050
2359,24241,22275
236,4149,6127
2363,8137,4043
2365,16042,22229
2372,8133,10146
2373,12026,12082
2374,0,1973
2375,1954,9923
2376,0,1984
2378,10007,1996
2380,2062,1993
2384,7911,9887
2387,9963,11945
2389,10071,10071
239,3960,4723
2390,7997,0
2391,0,1985
2394,2120,4174
2397,1985,1988
2398,4040,3907
2399,10184,10146
240,2081,2037
2401,12052,12040
2403,1978,4045
2405,378655,372662
2408,11970,7952
2412,6081,8090
2414,1987,4047
2415,1992,0
242,5964,6014
2420,4046,6072
2421,10143,8121
2423,2000,2000
2424,1998,4018
2427,10218,12208
243,4076,6074
2430,6040,8100
2432,5932,5958
2433,22089,14153
2434,4020,4020
2436,3987,2022
2438,4055,1977
244,265294,263302
2442,12205,14318
2443,5989,4117
2444,2070,2017
2446,2027,4073
2447,3974,3946
2449,6015,3969
245,4740,6022
2451,4050,4041
2452,2011,1940
2454,18177,18073
2455,13986,1972
2457,16073,16005
2459,10158,12127
246,1992,2024
2461,5978,0
2462,12020,6018
2463,2076,4092
2464,6049,3973
2465,54575,56614
2466,32196,30039
2467,0,2033
2468,0,1986
247,3991,4022
2470,4024,5987
2474,72168,66101
2475,9947,11980
2478,3945,3967
2479,10122,8039
2487,0,0
2488,0,2065
2489,6014,8000
249,0,2001
2490,2047,2007
2492,8083,10136
2494,0,1963
2495,6019,6049
2499,2018,2059
250,42188,40286
2500,2061,8132
2501,5938,0
2502,0,1958
2503,10002,7995
2504,6038,5933
2506,0,2050
2507,556142,550788
2511,0,0
2514,0,1961
2515,4084,6081
2516,1908,0
2518,0,2030
2520,22157,24225
2523,10922,10873
2524,0,0
2526,0,1997
2527,18133,20131
253,26342,24198
2534,2007,0
2535,80120,80938
2538,1987,2049
2540,36110,34150
2541,0,1961
2542,6147,8126
2543,10108,12044
2549,2068,1920
255,7920,5928
2550,3937,5998
2551,1985,0
2553,7961,10094
2555,7899,5940
2559,8112,8091
256,10003,10110
2560,6086,8151
2568,14248,14264
2570,4002,3957
2571,88233,77295
2572,8040,6056
2573,1997,2067
2574,38150,40170
2576,1969,1969
2579,10136,8170
2580,7944,9939
2581,2011,3950
2583,4025,1973
2585,4030,12030
2586,84154,84070
2588,2075,2005
2590,7924,5983
2592,20308,16222
2593,23862,23866
2594,3980,5980
2598,3841,5892
26,6032,5995
260,4038,1910
2602,8202,6248
2603,6076,2043
2604,3982,5958
2606,4007,1961
2607,228563,228653
261,3987,6013
2611,110616,112618
2612,1988,3973
2613,44183,46189
2615,4025,4150
2616,4205,6266
2617,1983,0
2619,2018,4021
2620,8218,4020
2623,1992,1995
2625,1930,1998
2626,0,2080
2628,36088,38015
2629,1968,3929
263,14258,14191
2630,0,2077
2631,7977,2051
2632,2029,2001
2633,5850,5912
2634,9883,9789
2637,4020,2029
2638,1999,2061
264,1977,2114
2641,6046,1997
2643,6015,5995
2649,9971,4010
265,2041,4056
2652,534505,530508
2654,4063,4063
2656,18102,20060
2657,0,8190
2658,26273,24273
2659,8098,6034
266,0,2004
2661,24228,26200
2665,14190,12174
2666,0,0
2670,6028,4023
2671,8107,8118
2674,3948,3955
2676,1932,2018
2678,675785,665635
268,2001,3976
2680,13969,8080
2682,5923,5923
2683,0,1935
2684,6019,7997
2685,1978,3930
2686,0,0
2689,2080,2014
2690,17951,11922
2692,5951,3972
2693,14080,16118
2694,22047,24010
2695,0,1979
2698,6168,6139
27,0,2082
2700,6054,8102
2701,3946,5971
2702,14074,14180
2704,8088,8111
2705,115120,117177
2706,2006,2006
2707,4037,1965
2709,10038,10042
271,12137,2036
2711,4014,6012
2714,18313,16264
2715,4049,6065
2716,2025,2015
2717,6090,1986
2719,2009,0
