nodeID1,nodeID2,utilisation
8946,8946,0
8946,4643,0
8946,5614,10016
5413,2257,6002
5413,4643,0
5413,5413,0
1088,1088,0
1088,5234,0
1088,4694,2085
1088,1498,12186
1088,3711,4008
5234,4385,4166
5234,5234,0
4694,4694,0
4694,8223,6131
1498,4385,246311
1498,8833,2150
1498,1508,369077
1498,174,8010
1498,1498,0
3711,7083,4008
3711,3711,0
1089,1089,0
1089,5389,22253
1089,6806,20170
5389,5705,22069
5389,5389,0
6806,4653,18264
6806,6806,0
109,109,0
109,1725,1983
1725,1601,4055
1725,1725,0
1092,7641,6197
1092,6738,5912
1092,1092,0
7641,7715,0
7641,99,8029
7641,7171,2012
7641,3657,2041
7641,3915,2043
7641,3025,9999
7641,8787,4034
7641,7641,0
6738,6738,0
6738,8259,6084
1093,1733,19947
1093,1093,0
1093,7687,5622
1093,5195,40206
1093,8206,8131
1733,1733,0
1733,7059,13903
7687,7687,0
7687,5900,26494
7687,1241,24554
7687,1406,19988
5195,2507,528932
5195,5195,0
5195,6160,208368
5195,4501,22133
5195,1241,430945
5195,991,23826
8206,8206,0
8206,6831,8063
1094,8753,0
1094,7755,4262
1094,1094,0
8753,8753,0
8753,8941,3874
7755,7755,0
7755,7669,12260
1099,1099,0
1099,3892,5892
3892,7881,22165
3892,7630,8302
3892,3892,0
3892,4671,0
11,8952,6075
11,11,0
8952,8952,0
1101,7532,6020
1101,1101,0
1101,7351,5974
7532,7532,0
7532,3804,4044
7351,5441,30261
7351,1244,34243
7351,7351,0
1102,1102,0
1102,4319,5937
4319,6072,5924
4319,4319,0
1109,4531,9977
1109,5036,5985
1109,1109,0
4531,4228,15996
4531,4328,150799
4531,6985,3455
4531,7794,26250
4531,1875,17946
4531,4531,0
4531,5651,7813
4531,126,255851
4531,4574,60502
5036,5036,0
5036,5326,12037
111,4579,9942
111,4507,5920
111,3003,0
111,111,0
4579,4579,0
4579,92,18082
4579,3003,0
4507,4507,0
4507,3003,0
1110,4643,0
1110,6373,10041
1110,1110,0
6373,6373,0
6373,4643,0
6373,5397,13993
1111,5775,2031
1111,5993,5995
1111,1111,0
5775,5775,0
5775,4774,2031
5993,6435,6139
5993,3943,10074
5993,5993,0
5993,2289,1946
5993,564,5912
5993,2678,660940
5993,2652,936475
5993,8925,1947
1113,1113,0
1113,2154,10261
2154,4004,208689
2154,4165,2037
2154,2629,3929
2154,6056,1976
2154,2154,0
2154,4639,9981
2154,4814,86308
2154,1199,3966
2154,4945,4025
2154,1721,22136
2154,9108,4031
2154,761,5994
2154,2492,12115
2154,7004,24177
2154,8671,2005
1114,7993,3888
1114,1114,0
7993,8451,4029
7993,2538,6023
7993,2585,12030
7993,7420,2003
7993,7993,0
7993,7164,52182
7993,734,18131
1115,1115,0
1115,3003,0
1115,7540,8046
1115,814,4023
7540,91,0
7540,7540,0
814,8600,2009
814,3003,0
814,814,0
1116,2249,22032
1116,7466,14155
1116,1116,0
2249,2249,0
2249,2914,17964
7466,7466,0
7466,5542,14160
1119,4643,4078
1119,5347,1991
1119,1119,0
5347,7568,5999
5347,4643,0
5347,5347,0
1126,8416,14110
1126,4196,5988
1126,1126,0
8416,8416,0
8416,1866,12072
4196,4196,0
4196,5815,9944
1127,8194,2032
1127,4643,0
1127,1127,0
1127,8991,10041
8194,8194,0
8194,4643,0
8991,2073,12136
8991,4643,0
8991,8991,0
1131,1131,0
1131,8964,19638
1131,4198,19850
8964,1843,17702
8964,8964,0
4198,3312,17851
4198,4198,0
1132,910,46375
