total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
32,512,5238,1000000000,model defined,10000001,16,10000016,48.0668,108554223,0,56735439,0,-9.49,0,0,25230243,48.69,1018432,759407,259025,425216,13288,51818784,1078057.3,28767,10000017,11533731,326,96681763,96681763,3888,960,960,24,80,1064,976,1176,47.1153,6.2017,26.0765,0,0,13.4656,9.9102,0,84.5349,4.3136,29.6508,26.4006,36.6759,0,0,100.6944
32,512,5238,1000000000,model defined,10000001,16,10000016,48.0799,108553253,0,56734469,0,-9.49,0,0,25230243,48.69,1018105,760036,258069,425216,13288,51818784,1077763.1,28273,10000017,11533731,326,96678379,96678379,3888,960,960,24,80,1064,976,1176,46.7783,6.1966,26.1023,0,0,13.5143,10.0085,0,84.4968,4.4173,29.4218,26.3127,36.4116,0,0,100.7219
32,512,5238,1000000000,model defined,10000001,16,10000016,48.4598,108550724,0,56731940,0,-9.48,0,0,25230243,48.69,1020102,762493,257609,425216,13288,51818784,1069313.97,28222,10000017,11533731,326,96684609,96684609,3888,960,960,24,80,1064,976,1176,47.3804,6.229,26.2344,0,0,13.4678,10.3823,0,85.6753,4.2785,29.8588,26.518,37.0383,0,0,101.5177
32,512,5238,1000000000,model defined,10000001,16,10000016,47.8579,108544241,0,56725457,0,-9.47,0,0,25230243,48.69,1019819,761976,257843,425216,13288,51818784,1082763.43,28759,10000017,11533731,326,96672847,96672847,3888,960,960,24,80,1064,976,1176,47.264,6.1847,26.0057,0,0,13.4217,10.2697,0,84.1693,4.3037,29.4232,26.0894,36.3547,0,0,100.2567
32,512,5238,1000000000,model defined,10000001,16,10000016,48.2874,108550873,0,56732089,0,-9.48,0,0,25230243,48.69,1016075,758542,257533,425216,13288,51818784,1073131.6,28508,10000017,11533731,326,96682323,96682323,3888,960,960,24,80,1064,976,1176,47.1621,6.2388,26.1771,0,0,13.5601,9.5936,0,84.9463,4.3034,29.2643,26.7501,36.4508,0,0,101.1566
60,960,5238,1000000000,model defined,10000001,16,10000016,84.2647,201818558,0,149999774,0,-189.47,0,0,29683233,57.28,2214373,1356887,857486,795900,13265,51818784,614952.77,41252,10000017,11533551,506,236612671,236612671,3888,960,960,144,80,1184,976,1176,43.721,10.8923,46.6866,0,0,13.7239,39.7028,0,163.9877,4.4178,73.686,43.6557,77.9275,0,0,176.5258
60,960,5238,1000000000,model defined,10000001,16,10000016,86.7416,201804702,0,149985917,0,-189.44,0,0,29683233,57.28,2207719,1351008,856711,795900,13265,51818785,597392.52,42646,10000017,11533551,506,236681079,236681079,3888,960,960,144,80,1184,976,1176,39.6642,10.8857,46.4248,0,0,13.307,39.813,0,169.326,4.4601,75.1874,43.4855,79.6177,0,0,181.7147
60,960,5238,1000000000,model defined,10000001,16,10000016,86.1072,201821984,0,150003200,0,-189.48,0,0,29683233,57.28,2205140,1347530,857610,795900,13265,51818784,601793.93,42212,10000017,11533551,506,236683157,236683157,3888,960,960,144,80,1184,976,1176,40.7339,11.1129,47.6626,0,0,13.4317,38.7078,0,167.7996,4.417,75.7065,43.319,80.0884,0,0,180.3856
60,960,5238,1000000000,model defined,10000001,16,10000016,85.2772,201819430,0,150000646,0,-189.47,0,0,29683233,57.28,2211135,1352239,858896,795900,13265,51818784,607650.99,40135,10000017,11533551,506,236655129,236655129,3888,960,960,144,80,1184,976,1176,39.4384,10.9036,46.7036,0,0,13.4539,39.8062,0,166.1946,4.4361,74.2207,43.8929,78.5904,0,0,178.6465
60,960,5238,1000000000,model defined,10000001,16,10000016,84.8955,201817053,0,149998269,0,-189.47,0,0,29683233,57.28,2210747,1348948,861799,795900,13265,51818784,610383.33,41897,10000017,11533551,506,236695331,236695331,3888,960,960,144,80,1184,976,1176,40.0163,10.8859,46.3459,0,0,13.6093,39.0605,0,165.392,4.4673,74.2177,43.2728,78.5993,0,0,177.8444
